"wd.item","tapor.id","ssh.id","wd.tadirahid","tadirah.id"
"Q4798119","1346","ELLVec","Q80006","programming"
"Q4798119","1346","ELLVec","Q217602","analyzing"
"Q161053","1012","W5GAXY","Q80006","programming"
"Q161053","1012","W5GAXY","Q123819227","creating"
"Q161053","1012","W5GAXY","Q217602","analyzing"
"Q161053","1012","W5GAXY","Q386275","webDevelopment"
"Q190478","1384","7jF2uv","Q386275","webDevelopment"
"Q190478","1384","7jF2uv","Q80006","programming"
"Q55632682","925","z6MwlK","Q123819225","capturing"
"Q55632682","925","z6MwlK","Q123751128","gathering"
"Q55632682","925","z6MwlK","Q194105","editing"
"Q55632682","925","z6MwlK","Q10418049","archiving"
"Q55632682","925","z6MwlK","Q123819226","disseminating"
"Q55632682","925","z6MwlK","Q36993249","organizing"
"Q55632682","925","z6MwlK","Q123783459","designing"
"Q16980712","811","vEB02S","Q123819227","creating"
"Q1968512","1301","vm7b3e","Q36993249","organizing"
"Q1968512","1301","vm7b3e","Q123819222","storing"
"Q368367","810","UfX6Ad","Q6504956","dataVisualization"
"Q368367","810","UfX6Ad","Q217602","analyzing"
"Q368367","810","UfX6Ad","Q857525","annotating"
"Q3953069","1198","aN6NlV","Q123819225","capturing"
"Q3953069","1198","aN6NlV","Q459221","sharing"
"Q3953069","1198","aN6NlV","Q1365447","screencast"
"Q3476481","1424","1U5uMh","Q110484020","writing"
"Q7441618","1244","fAVrGf","Q123819225","capturing"
"Q7441618","1244","fAVrGf","Q1145523","collaborating"
"Q7441618","1244","fAVrGf","Q123751128","gathering"
"Q7441618","1244","fAVrGf","Q123819226","disseminating"
"Q3478650","1179","5JsYwz","Q36993249","organizing"
"Q3478650","1179","5JsYwz","Q857525","annotating"
"Q7489527","1100","DKyzrr","Q1145523","collaborating"
"Q7489527","1100","DKyzrr","Q857525","annotating"
"Q58423879","734","dvrBhg","Q4417999","networkAnalysis"
"Q58423879","734","dvrBhg","Q6504956","dataVisualization"
"Q58423879","734","dvrBhg","Q12772819","discovering"
"Q58423879","734","dvrBhg","Q95832426","visualAnalysis"
"Q58423879","734","dvrBhg","Q3972943","publishing"
"Q58423879","734","dvrBhg","Q11024","communicating"
"Q58423879","734","dvrBhg","Q386275","webDevelopment"
"Q58423879","734","dvrBhg","Q123751127","structuralAnalysis"
"Q58423879","734","dvrBhg","Q123783456","relationalAnalysis"
"Q25048081","1634","H5N6rQ","Q1116876","modeling"
"Q25048081","1634","H5N6rQ","Q6504956","dataVisualization"
"Q25048081","1634","H5N6rQ","Q217602","analyzing"
"Q25048081","1634","H5N6rQ","Q12772819","discovering"
"Q25048081","1634","H5N6rQ","Q653137","contentAnalysis"
"Q25048081","1634","H5N6rQ","Q15756478","interpreting"
"Q25048081","1634","H5N6rQ","Q11873636","stylisticAnalysis"
"Q7534755","1596","X9Gl7m","Q123819227","creating"
"Q7534755","1596","X9Gl7m","Q1116876","modeling"
"Q7534755","1596","X9Gl7m","Q12772819","discovering"
"Q7534755","1596","X9Gl7m","Q3972943","publishing"
"Q7534755","1596","X9Gl7m","Q123750937","enriching"
"Q7534755","1596","X9Gl7m","Q123819226","disseminating"
"Q7534755","1596","X9Gl7m","Q459221","sharing"
"Q7534755","1596","X9Gl7m","Q12713609","imaging"
"Q79604","1501","zyEVrb","Q123819227","creating"
"Q79604","1501","zyEVrb","Q1116876","modeling"
"Q79604","1501","zyEVrb","Q15756478","interpreting"
"Q79604","1501","zyEVrb","Q123783459","designing"
